Test Case No.,Test Case/Summary,Test Type,Description,Data,Test Steps,Expected outcome
D-02,Paragraph text — Screen 1 design parity,UI Testing,Validate that the live app's first paragraph text matches the design image exactly.,Design: 'This domain is for use in illustrative examples in documents. You may use this domain in literature without prior coordination or asking for permission.',"1. Navigate to https://example.com/. 2. Capture first <p> text. 3. Compare to design value.","Live paragraph text matches design exactly. Deviation = defect."
D-03,Link label — Screen 1 design parity,UI Testing,Validate that the visible link on Screen 1 is labeled 'More information...' as shown in the design.,Design: link text = 'More information...',"1. Navigate to https://example.com/. 2. Locate <a> element. 3. Read visible text. 4. Compare to design.",Link text === 'More information...'. Deviation = defect.
D-04,Page title — Screen 1 design parity,UI Testing,Validate that the browser title of Screen 1 matches the design.,Design: title = 'Example Domain',"1. Navigate to https://example.com/. 2. Read document.title. 3. Compare to design.",document.title === 'Example Domain'. Deviation = defect.
D-05,Background color — Screen 1 design parity,UI Testing,Validate that the page background is white as shown in the design.,Design: body background = white (#ffffff),"1. Navigate to https://example.com/. 2. Compute background-color of <body>. 3. Compare to design.",body background-color is white / rgb(255 255 255) or near-white. Deviation = defect.
D-06,No navigation header — Screen 1 design parity,UI Testing,Validate that no navigation bar or site header element is present on Screen 1 as per the design (minimal layout with no nav).,Design: no <nav> or header bar present,"1. Navigate to https://example.com/. 2. Count <nav> elements. 3. Verify absence.",<nav> element count === 0 (no visible navigation header). Presence of a nav = defect.
D-07,Main heading — Screen 2 design parity,UI Testing,Validate that the main heading on Screen 2 is 'IANA-managed Reserved Domains' as shown in the design.,Design: heading = 'IANA-managed Reserved Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for load. 4. Locate first h1/h2. 5. Compare to design.",Heading text === 'IANA-managed Reserved Domains'. Deviation = defect.
D-08,Example Domains section — Screen 2 design parity,UI Testing,Validate that a section labeled 'Example Domains' is present on Screen 2 as shown in the design.,Design: section heading = 'Example Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for load. 4. Locate heading/text 'Example Domains'. 5. Verify visible.","'Example Domains' heading is visible on the page. Absence = defect."
D-09,Test Domains section — Screen 2 design parity,UI Testing,Validate that a section labeled 'Test Domains' is present on Screen 2 as shown in the design.,Design: section heading = 'Test Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for load. 4. Locate heading/text 'Test Domains'. 5. Verify visible.","'Test Domains' heading is visible on the page. Absence = defect."
D-10,IANA branding/header — Screen 2 design parity,UI Testing,Validate that IANA branding or a site header is present on Screen 2 as shown in the design.,Design: IANA branded header visible,"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for load. 4. Check for IANA logo or header element.","IANA branded header (logo, nav, or title containing 'IANA') is present. Absence = defect."
D-11,URL changed after navigation — Screen 2 design parity,UI Testing,Validate that after clicking the link the URL is no longer example.com — confirming navigation to a different page.,Design: Screen 2 is NOT example.com,"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for load. 4. Read page.url().","page.url() does NOT equal https://example.com/ — navigation succeeded. Staying on example.com = defect."
